headline,true_label,predicted_label,confidence,true_label_prob,original_headline
lord mayor back call hunter base transport authority,neutral,negative,0.7448,0.1157,lord mayor backs calls for hunter based transport authority
flood river swell swamp dam end station,positive,neutral,0.9257,0.0544,flooded rivers swollen swamps and full dams at top end station
rta cancels plan widen spit bridge,negative,neutral,0.6607,0.3158,rta cancels plan to widen spit bridge
troubled bookstore change gift voucher rule,neutral,negative,0.754,0.0061,troubled bookstores change gift voucher rules
green want abortion remove crime act,positive,negative,0.9454,0.0126,greens want abortion removed from crimes act
australian bikie beat kidnap thailand home,negative,neutral,0.9207,0.0398,former australian bikie beaten kidnapped from thailand home
police hunt teen allege stab 16yo girl,negative,neutral,0.5664,0.4171,police hunt teen alleged to have stabbed 16yo girl
jackson will not preferred successor,negative,neutral,0.6308,0.0141,jackson wont name a preferred successor
sa money not dialysis treatment,negative,neutral,0.4995,0.3926,no sa money for nt dialysis treatment
jazz great tour australia,neutral,positive,0.9439,0.0536,jazz greats tour australia
tiger join nbl,positive,neutral,0.6083,0.3861,tigers to join nbl
rini demand australia recall diplomat,neutral,negative,0.5145,0.4774,rini demands australia recall diplomat
sydney train crash richmond station injure passenger,neutral,negative,0.9748,0.0248,sydney train crashes at richmond station injuring passengers
drench prove problematic vineyard,negative,neutral,0.729,0.1472,drenching proves problematic for some vineyards
penong body suspicious,positive,negative,0.9545,0.0374,penong body not suspicious
local govt upset delay farm relief tip,negative,positive,0.5167,0.4831,local govt upset over delayed farm relief tip
nsw cop andrew scipione unfinished business retirement,positive,neutral,0.9246,0.053,nsw top cop andrew scipione unfinished business retirement
investigator charge drug ring,neutral,negative,0.9278,0.0665,top investigator charged over drug ring
uq professor criticises tas environment report,negative,neutral,0.947,0.0438,uq professor criticises tas environment report
adam reynolds miss chance rabbitohs score,neutral,positive,0.5261,0.2938,adam reynolds misses a chance for the rabbitohs to even score
australians gun,neutral,negative,0.9063,0.0403,australians own as many guns as in 1996
christian brother mislead police royal commission lawyer,neutral,negative,0.5467,0.4486,christian brothers misled police royal commission lawyers say
paul kennedy recount sporting moment,positive,neutral,0.8825,0.0535,paul kennedy recounts the top sporting moments of
ses join seach man miss panniwonica,neutral,negative,0.885,0.0017,ses join seach for man missing at panniwonica
thieve robber crabs nick expensive thermal imaging camera,negative,neutral,0.7053,0.2452,thieving robber crabs nick expensive thermal imaging camera
layoff break hill perilya desperately hop,negative,positive,0.555,0.445,no layoffs; but broken hill's perilya 'desperately hoping
steam tractor enthusiast preserve steam,positive,neutral,0.8067,0.1735,steam tractors: enthusiasts preserving steam
year old sue president trump climate policy,negative,neutral,0.8881,0.0835,the nine year old suing president trump over his climate policy
england battle save test,positive,negative,0.7031,0.2967,england battling to save test
coalition oppose boost family payment,negative,positive,0.9642,0.001,coalition will not oppose boost to family payments
red adopt ruthless streak genia,neutral,positive,0.9205,0.025,reds adopting ruthless streak genia
samantha knight mother make plea guider jail,neutral,negative,0.5038,0.4824,samantha knight mother makes plea to keep guider in jail
hopevale grow banana,neutral,positive,0.683,0.2449,hopevale to grow bananas
pm urge business leader join team australia,positive,neutral,0.6118,0.3743,pm urges business leaders to join team australia
vettel fast red bull dominate hungary practice,positive,negative,0.4936,0.2205,vettel fastest as red bull dominates hungary practice
study show scientist underestimate glaci,negative,neutral,0.8016,0.1603,study shows scientists underestimated glacier
pistorius mentally ill shoot expert conclude,positive,neutral,0.5319,0.1312,pistorius not mentally ill during shooting experts conclude
prawn farmer want reform,positive,neutral,0.6524,0.2872,prawn farmers want reforms
increase death link european heatwave,positive,negative,0.8522,0.1073,increase in deaths linked to european heatwave
hold iraqi female detainee despite murder,positive,negative,0.9649,0.0058,us holds iraqi female detainees despite murder
perspective trustworthiness politician,positive,neutral,0.8272,0.0559,6 perspectives on the trustworthiness of politicians
south africa throw away chance history draw test,positive,neutral,0.5272,0.4269,south africa throw away chance at history to draw test with
wa native title claim launch,positive,neutral,0.9055,0.0392,$290 billion wa native title claim launched
alcohol levy propose reduce indigenous death,neutral,negative,0.8025,0.194,alcohol levy proposed to reduce indigenous deaths
solskjaer determine lose time,neutral,negative,0.951,0.002,solskjaer determined to make up for lost time
passer catch fall child,negative,neutral,0.7776,0.2142,passer by catches falling child
police request calm bashir arrest,neutral,negative,0.7316,0.0002,police request calm after bashirs re arrest
canberra bikie smash mans hand sledgehammer,positive,neutral,0.5742,0.4109,canberra bikie smashed mans hand with sledgehammer
agent shoot tear gas migrant mexican border,negative,neutral,0.5583,0.3774,us agents shoot tear gas at migrants at mexican border
youthful self portrait find hide da vinci,positive,negative,0.4512,0.1535,youthful self portrait found hidden in da vinci
art galley expansion exciting,positive,neutral,0.8774,0.0727,art galley expansion exciting
canberra builder warn damage public land,positive,negative,0.9982,0.0018,canberra builders warned not to damage public land
hope remain trap utah miner,negative,positive,0.7461,0.2439,hope remains for trapped utah miners
downer grant defector political asylum lawyer,negative,positive,0.9096,0.0099,downer can grant defector political asylum lawyer
djokovic back chance,negative,positive,0.5058,0.4942,djokovic not backing his chances
law council guantanamo stance vindicate,positive,neutral,0.3879,0.3745,law council guantanamo stance vindicated
man plead guilyt murder sudanese pedestrian,positive,negative,0.9865,0.0014,man pleads not guilyt to murder of sudanese pedestrian
authority urge boater update equipment,positive,neutral,0.5271,0.3919,authority urges boaters to update equipment
congratulation darle female vicar,positive,neutral,0.8942,0.0708,congratulations darling female vicar becomes
father drown try save child victorian surf beach,neutral,negative,0.5467,0.0257,father drowns trying to save children at victorian surf beach
phoenix meet swift final,neutral,positive,0.5777,0.3823,phoenix to meet swifts in final
hospital staff receive similar work condition,neutral,negative,0.5132,0.4513,hospital staff to receive similar work conditions
james ashby say embarrassed word,negative,neutral,0.6857,0.265,james ashby says hes embarrassed about the words
marcus lee matt joyce dubai corruption fall,negative,neutral,0.697,0.2334,marcus lee matt joyce dubai corruption falling out
paspaley plead guilty workplace safety breach,neutral,positive,0.9187,0.0005,paspaley to plead guilty to workplace safety breach
boot camp teach young offender respect,positive,negative,0.6371,0.3475,boot camp to teach young offenders respect
bat baby hail caesarian delivery,positive,neutral,0.6225,0.2291,bat baby hailed after caesarian delivery
sharon blast settler hooliganism,negative,neutral,0.8762,0.1159,sharon blasts settler hooliganism
melaleuca fire audio,neutral,negative,0.8909,0.1081,melaleuca fires audio
fearnley prepared tough,positive,negative,0.8581,0.1341,fearnley well prepared for tough 2015
defection oust naurus president,negative,neutral,0.9135,0.0679,defections oust naurus president
wa ready rollout swine flu vaccine,neutral,negative,0.8106,0.0021,wa ready to rollout swine flu vaccine
worshipper flock mecca,positive,neutral,0.973,0.0042,worshippers flock to mecca
govt oppn express sympathy spain blast victim,positive,negative,0.8155,0.0569,govt oppn express sympathy for spain blast victims
petrol price drop dollar,negative,neutral,0.5157,0.4748,petrol prices drop below one dollar
sign fruit fly,negative,neutral,0.8639,0.0811,no sign of fruit flies
holiday stanhope touch,neutral,positive,0.8853,0.1107,holidaying stanhope out of touch
michael morgan pump excited nervous,positive,negative,0.792,0.0296,michael morgan pumped excited nervous to get
regional police safe cut,negative,positive,0.622,0.378,regional police not safe from cuts
leipheimer join armstrong new team,neutral,positive,0.4971,0.4927,leipheimer joins armstrongs new team
australian travel edge amazon jungle,positive,neutral,0.498,0.4501,australians travel to edge of amazon jungle in
riverland irrigation project kind,positive,neutral,0.8593,0.0523,riverland irrigation project first of its kind
australian man hold sudanese jail,neutral,negative,0.752,0.2196,australian man held in sudanese jail
timor alert damn un report,negative,positive,0.5861,0.4128,e timor on alert after damning un report
tafe sa course efficiently run private provider,positive,neutral,0.8901,0.074,tafe sa courses less efficiently run private providers
farmer not treat property produce,negative,positive,0.4932,0.0165,farmers shouldnt treat properties as produce
poultry farmer ready bird flu,neutral,negative,0.924,0.0006,poultry farmers ready for bird flu
margate meteorite myth fool generation,negative,neutral,0.8689,0.0901,margate meteorite a myth fooling generations
range bird scar technology market,negative,neutral,0.9099,0.0639,range of bird scaring technologies on market
tutu blesse australia world cup bid,positive,neutral,0.8331,0.0352,tutu blesses australias world cup bid
scott higginbotham leave australia season,negative,neutral,0.5938,0.3835,scott higginbotham to leave australia after 2015 season
amendment confirm basin authority power decide,positive,neutral,0.7574,0.2098,amendments confirm basin authority power to decide
global concern chinas unstable market,negative,neutral,0.9269,0.0208,global concern about chinas unstable market a
man plead guilty rap 50yo,positive,negative,0.8991,0.0979,man pleads not guilty to raping 50yo
sri lanka ready resume talk tamil rebel,positive,negative,0.7233,0.2691,sri lanka ready to resume talks with tamil rebels
china announce military budget increase,positive,neutral,0.5188,0.4766,china announces military budget increase
cattle death tally north west queensland,neutral,negative,0.7233,0.2651,cattle deaths tallied in north west queensland
button sit pretty gp lead,positive,neutral,0.8218,0.1032,button sitting pretty in gp lead
trail assurance fail satisfy green group,positive,negative,0.8827,0.1151,trail assurances fail to satisfy green group
hensby jump world,positive,neutral,0.8419,0.1122,hensby jumps into worlds top 30
jamal khashoggi strangle dismember soon enter consulate,negative,neutral,0.7328,0.2518,jamal khashoggi strangled dismembered soon as entered consulate
epa reverse approval bacchus marsh toxic soil dump,positive,negative,0.7424,0.2059,epa reverses approval of bacchus marsh toxic soil dump
world star gazer gather sydney,positive,neutral,0.9178,0.0501,worlds top star gazers gather in sydney
elder commit trial coat arm theft,positive,neutral,0.6126,0.3194,elder committed for trial over coat of arms theft
flugge pay day iraq trip senate tell,neutral,negative,0.5503,0.4233,flugge paid 2000 a day during iraq trip senate told
saudi official learn virtue australian,positive,neutral,0.9313,0.0307,saudi officials learn the virtues of australian
crochet class revive old fashioned craft,neutral,positive,0.83,0.1573,crochet classes reviving old fashioned craft
mayor tell court wrong,positive,negative,0.9645,0.0247,mayor tells court he did nothing wrong
haiti soldier stone death amid widespread unrest,negative,neutral,0.6033,0.3953,former haiti soldier stoned to death amid widespread unrest
salmon industry impact freshwater river question,negative,neutral,0.7581,0.2169,salmon industrys impact on freshwater rivers questioned
big gun league star fixture,neutral,negative,0.7697,0.1581,big guns out of a league all stars fixture
panther sighting regional wa help fight feral cat,positive,neutral,0.7052,0.2228,panther sightings in regional wa not helping fight feral cats
canadian island join sa ice hockey team,positive,neutral,0.6151,0.3321,four canadians from the same island join sa ice hockey team
market slump despite deficit drop,positive,negative,0.9727,0.0059,market slumps despite deficit drop
bill schoch cryptic document clive palmer keep pay confidential,negative,neutral,0.5397,0.4334,bill schoch cryptic document clive palmer kept pay confidential
british public urge stay alert bomb find,negative,positive,0.607,0.3585,british public urged to stay alert after bomb find
chocolate coffee worth antioxidant report,negative,positive,0.8372,0.1163,chocolate coffee not worth the antioxidants report
resident uneasy amid opposition muslim school,negative,neutral,0.6973,0.2918,residents uneasy amid opposition to muslim school
protester disrupt katter australian party medium conference,positive,negative,0.5593,0.4286,protesters disrupt katters australian party media conference
mick fan face beat kelly slater pipe master,negative,neutral,0.8978,0.0527,mick fanning faced with beating kelly slater at pipe masters
rudd admit difficulty betrayal,negative,positive,0.9673,0.0259,rudd admits difficulty of betrayal
number worker expose asbestos rise,neutral,negative,0.8208,0.0162,number of workers exposed to asbestos rises by 50
sydneysider try cool bondi overnight,positive,neutral,0.529,0.4475,sydneysiders try to keep cool at bondi overnight
england crush ireland seal grand slam,negative,positive,0.6017,0.3977,england crush ireland to seal grand slam
depressed henman vow try,negative,neutral,0.8992,0.085,depressed henman vows to try again
premier mike rann say sa plan tough rule,positive,negative,0.7885,0.0829,premier mike rann says sa plans tougher rules for
shark manly beach sydney sunbather stun,negative,neutral,0.6392,0.3033,shark at manly beach has sydney sunbathers stunned
government label jab pay policy success,neutral,positive,0.832,0.0044,government labels no jab; no pay policy a success
nuclear free zone rescission fail,positive,negative,0.5077,0.4923,nuclear free zone rescission fails
peacekeeper dispute delay sudan mission,neutral,negative,0.7451,0.0,peacekeepers dispute delays sudan mission
qld woman reach half way solo sailing bid,positive,neutral,0.5574,0.3535,qld woman reaches half way in solo sailing bid
tio prepare waive certificate chookgate,positive,neutral,0.896,0.0236,tio prepared to waive certificates for chookgate
concern air mentally ill people,negative,neutral,0.739,0.2234,concerns aired over more mentally ill people
member seek flexible bendigo water supply,positive,neutral,0.9112,0.0624,member seeks more flexible bendigo water supply
man die fall cliff wa karajini national park,negative,neutral,0.708,0.2612,man dies after falling from cliff in wa karajini national park
act controversial kangaroo cull program restart,negative,neutral,0.5479,0.4452,acts controversial kangaroo cull program restarts
obama say break mt sinjar seige northern iraq,negative,neutral,0.8517,0.0936,obama says us broke mt sinjar seige in northern iraq
determine dane banish cameroon,negative,positive,0.4796,0.0432,determined danes banish cameroon
senator feel heat energy cut,positive,negative,0.5243,0.4756,senators feeling the heat after energy cuts
coronavirus expect delay portrush road home acquisition,positive,negative,0.6397,0.017,coronavirus not expected to delay portrush road home acquisition
share market rise aussie dollar lose ground,negative,positive,0.8903,0.0692,share market rises; but aussie dollar loses ground
boy hurt fete ride get well,negative,positive,0.7217,0.2782,boy hurt on fete ride getting better
wong foolish dismiss carbon trading,negative,neutral,0.9421,0.019,wong foolish to dismiss carbon trading
wa mcgowan delay relaxation coronavirus restriction,positive,negative,0.5943,0.2211,wa mcgowan delays further relaxation of coronavirus restrictions
defector link brian burke discuss,negative,neutral,0.9346,0.0473,defectors links to brian burke discussed
sun player voice drug concern rodney eade,negative,neutral,0.9256,0.0108,no suns players voice drug concerns rodney eade
court find kogan promotion mislead asx swing close high,neutral,negative,0.5306,0.4661,court find kogan promotion mislead asx swings closes higher
govt demand election costing lib,neutral,negative,0.6145,0.3009,govt demands election costings from libs
pm pressured pension plan,negative,neutral,0.9146,0.0319,pm pressured on pension plan
biogeographic atlas southern ocean launch tasmania,positive,neutral,0.81,0.155,biogeographic atlas of southern ocean launched in tasmania
pair accuse torch junction hotel plead guilty,neutral,negative,0.9443,0.0007,pair accused of torching junction hotel plead not guilty
forum highlight ningaloo development impact,positive,neutral,0.9084,0.0449,forums to highlight ningaloo development impact
bomber belt saint reach final,neutral,positive,0.5434,0.4168,bombers belt saints to reach final
pulp mill legal action loom,neutral,negative,0.5842,0.0003,pulp mill legal action looms
big grain freight road task begin earnest,positive,neutral,0.9178,0.0251,big grain freight road task begins in earnest
highway clean continue truck crash,neutral,positive,0.7752,0.011,highway clean up continues after truck crash
nauru hope end dirty money black listing,neutral,positive,0.9265,0.0041,nauru hopes for end dirty money black listing
mitchell australia fall prevention hiv,negative,neutral,0.7688,0.2135,mitchell australia is falling behind in prevention of hiv
suck world party billing,negative,positive,0.8067,0.1503,how i was sucked into the world of third party billing
allow gen poky govt urge,positive,neutral,0.6813,0.2782,allow next gen pokies govt urged
sunderland manager fascist sympathy,negative,positive,0.602,0.0468,sunderland managers fascist sympathies in the
henjak elated derby romp,positive,neutral,0.9565,0.0294,henjak elated with derby romp
congressman demand facebook explain privacy breach,negative,neutral,0.5113,0.4652,congressmen demand facebook explain privacy breach
manslaughter charge pontville stab,neutral,negative,0.9454,0.039,manslaughter charge for pontville stabbing
asset privatisation union protester rally minister meet,positive,negative,0.5991,0.3981,asset privatisation union protesters rally as ministers meet
hope rest work group end council dispute,neutral,positive,0.7694,0.0004,hopes rest on working group to end council dispute
north korea test fire missile,neutral,negative,0.8101,0.1682,north korea test fires 5 missiles
death link drug fentanyl,neutral,negative,0.9717,0.0282,15 deaths linked to the drug fentanyl
resident frighten drive shoot,negative,neutral,0.8848,0.106,residents frightened by drive by shooting
sebastian vettel leave ferrari formula team,negative,neutral,0.5973,0.3642,sebastian vettel to leave ferrari formula one team
avenger endgame end marvel decade reshape hollywood,positive,neutral,0.5618,0.4028,avengers: endgame ends marvels decade reshaping hollywood
government signal possible delay ndi,negative,neutral,0.4907,0.4694,government signals possible delay to ndis
tv entertainer sentence sex offence,neutral,negative,0.8988,0.0309,former tv entertainer sentenced for sex offences
mysterious fish death bushell lagoon,neutral,negative,0.9756,0.0241,mysterious fish deaths at bushells lagoon
man armed robbery charge face court,neutral,negative,0.6909,0.3008,man on armed robbery charge to face court again
kalgoorlie council say tsunami donation,negative,neutral,0.7081,0.2175,kalgoorlie council says no to tsunami donation
break hill resident hope loud voice,negative,positive,0.8642,0.1344,broken hill residents hope for louder voice together
milk plant clean chemical spill,neutral,positive,0.5964,0.4013,milk plant cleans up after chemical spill
echucas colin mcgillivray shear year,negative,neutral,0.919,0.0655,echucas colin mcgillivray 86 has been shearing for 70 years
george clooney infuriate,negative,neutral,0.9346,0.0267,george clooney: it would be infuriating if no
government urge support waste water scheme,neutral,negative,0.6642,0.0009,governments urged to support waste water scheme
muslims want islamic divorce court perth,positive,neutral,0.6196,0.338,muslims want islamic divorce court for perth
gnangara plantation fire contain,neutral,negative,0.8585,0.1393,gnangara plantation fires contained
fears hunter autistic student let school,negative,neutral,0.717,0.084,fears hunter's autistic students let down in schools
turner get option leave titan year,negative,neutral,0.7228,0.2673,turner gets option to leave titans after one year
unbalanced property investment spark price fall,positive,neutral,0.6287,0.2802,unbalanced property investment may spark price fall
promising mineral find eucla basin,positive,neutral,0.8975,0.064,promising minerals find in eucla basin
water cube atmosphere leave,neutral,negative,0.8296,0.141,water cube atmosphere leaves something to be
coalition responsible rate rise pm,negative,positive,0.659,0.0439,coalition not responsible for rate rise pm
eade question wisdom bench restriction,positive,neutral,0.8347,0.0105,eade questions wisdom of bench restriction
indemnity hardie deal say,negative,neutral,0.7719,0.0745,no indemnity in hardie deal a g says
tasmania sparkle unbottled,positive,neutral,0.8969,0.0374,tasmania sparkles at unbottled 2012
dog sign young gun,neutral,negative,0.5328,0.4479,dogs re sign young guns
ban drinker register imminent kimberley,negative,neutral,0.5342,0.4609,banned drinkers register imminent for kimberley
sydney sizzle september heat record break nsw,negative,neutral,0.8625,0.1267,sydney sizzles as september heat record broken in nsw
meat industry chief surprise japan beef,negative,positive,0.833,0.0364,meat industry chief not surprised by japan beef
aust woman find guilty bomb hoax,positive,negative,0.9688,0.0298,aust woman found not guilty over bomb hoax
pound overflow unwanted pet,negative,neutral,0.9345,0.0396,pounds overflowing with unwanted pets
mackay hit run sentence appeal uphold,positive,negative,0.4344,0.3308,mackay hit and run sentence appeal upheld
debnam undermine paedophile trial,negative,neutral,0.6709,0.3224,debnam undermined paedophile trial
bell bay fire investigation,neutral,negative,0.8399,0.1532,bell bay fires under investigation
mp demand immediate farmland mining protection,neutral,negative,0.5067,0.4177,mp demands immediate farmland mining protection
cop deception appeal dismiss,negative,neutral,0.7862,0.0242,cop deception appeal dismissed
plan increase speed camera zone capital,positive,neutral,0.4868,0.4637,plan to increase speed camera zones in capital
resident penalise stop,positive,negative,0.9855,0.0144,residents may be penalised for not stopping
microsoft face south korean anti trust suit,positive,negative,0.4976,0.4959,microsoft faces south korean anti trust suit
heathcote expect embrace gas rollout,positive,neutral,0.7336,0.2466,heathcote expected to embrace gas rollout
hospitality art worker hit hard,negative,neutral,0.5773,0.4039,hospitality and arts workers hit hard by the
mitchell cameron clear player face ban,positive,negative,0.8361,0.1621,mitchell and cameron cleared; four players face bans
rob oakeshott tell fran kelly decide,negative,neutral,0.5958,0.3871,rob oakeshott tells fran kelly why he has decided
not gaming minister go ground increase pokie number,neutral,positive,0.8006,0.1788,nt gaming minister goes to ground after increasing pokie numbers
sa feel cold shoulder federal election,positive,neutral,0.8657,0.0295,why sa is feeling the cold shoulder this federal election
japans olympic stadium plan cauldron,negative,neutral,0.9147,0.0727,japans olympic stadium plan has no cauldron
choice say label confusing consumer,negative,neutral,0.6927,0.2842,choice says more labels too confusing for consumers
plane make safe emergency landing toowoomba,positive,negative,0.8165,0.1786,plane makes safe emergency landing at toowoomba
howard hold hope death row aussie,negative,positive,0.505,0.4938,howard not holding out hope for death row aussie
fruity explosion leave child minor injure,neutral,negative,0.9734,0.0249,fruity explosion leaves children with minor injures
hong kong leader plead guilty,positive,negative,0.6298,0.2713,former hong kong leader pleads not guilty to
not lose snooze portugal nap activist,positive,negative,0.9813,0.0024,dont lose the snooze portugal nap activists say
brisbane roar beat mariner spot,positive,neutral,0.8909,0.0375,brisbane roar beat mariners 4 0 to take top spot
think go vegan mean animal die think,negative,neutral,0.7462,0.2329,think going vegan means no animals die think again
gold coast national contender withdraw,positive,neutral,0.584,0.3262,gold coast nationals contender withdraws
police pay tribute fall officer,negative,neutral,0.555,0.4405,police to pay tribute to fallen officers
disability companion card launch today,positive,neutral,0.7174,0.2495,disability companion card launched today
community clean claypan,neutral,positive,0.9835,0.0156,community cleans up claypans
club nsw exclude school bully payroll,neutral,negative,0.9294,0.0416,clubs nsw excludes school bullies from payroll
race club want change,positive,neutral,0.7731,0.1013,racing clubs want change
worker pay hour regulator,neutral,negative,0.6186,0.3665,workers paid less than 2 per hour regulator
bottlo ramraider flee hand,negative,positive,0.6563,0.0716,bottlo ramraiders flee empty handed
perth morley railway line moot max light rail lose favour,positive,negative,0.7837,0.1831,perth morley railway line mooted max light rail loses favour
davy mallon crowded leaderboard,positive,neutral,0.6448,0.0183,davies mallon top crowded leaderboard
exotic wasp cocos keeling island threaten agriculture,negative,neutral,0.5425,0.4561,exotic pest wasp in cocos keeling islands threatens agriculture
boss plead guilty endanger protester,positive,negative,0.8757,0.123,boss pleads not guilty to endangering protesters
passenger plane crash sea bali,neutral,negative,0.8987,0.0875,passenger plane crashes into sea at bali
qld lnp leader deb frecklington lose valuable campaign time,positive,negative,0.4891,0.4835,qld lnp leader deb frecklington loses valuable campaign time
gillon mclachlan say not receive special treatment,negative,positive,0.9353,0.0177,gillon mclachlan says he didnt receive special treatment
farmer central west nsw rejoice rain triple year,positive,neutral,0.8044,0.1395,farmers in central west nsw rejoice as rain triples on last year
police recover steal ww1 medal,neutral,negative,0.9402,0.0011,police recover stolen ww1 medal
urgent talk merimbula airport delay,positive,negative,0.5395,0.4578,urgent talks on merimbula airport delays
queensland policeman wrong sharing photo alleged bikie,positive,negative,0.5511,0.4469,queensland policeman not wrong sharing photo with alleged bikie
police warn grow prevalence counterfeit money,positive,negative,0.9006,0.0938,police warn of growing prevalence of counterfeit money
scott eye major,positive,neutral,0.9055,0.0432,scott eyes a major and the top five in 2005
john button exonerated manslaughter,positive,neutral,0.8558,0.1173,john button was exonerated of manslaughter after
english press despair shameful horrific ash,negative,neutral,0.4725,0.4399,english press despairs at shameful horrific ashes
indian police find definite lead blast probe,positive,neutral,0.912,0.0096,indian police find definite leads in blasts probe
pregnant canberra woman stick canada bump flight,negative,neutral,0.6007,0.3645,pregnant canberra woman was stuck in canada after bumped flight
hamstrung powell stawell,neutral,positive,0.372,0.2964,hamstrung powell out of stawell
labor say year tax plan hoax,negative,neutral,0.608,0.3864,labor says 7 year tax plan is a hoax
forum allow forest investigation,positive,neutral,0.8539,0.0848,forum to allow say on forest investigation
philippines ferry blast injure,neutral,negative,0.9062,0.0929,philippines ferry blast injures 19
abbott accept bernardis resignation,neutral,negative,0.6082,0.0001,abbott accepts bernardis resignation
decision boot camp operator,negative,neutral,0.8779,0.1024,no decision yet on boot camp operator
south west fire expect bring roo,neutral,negative,0.6368,0.3562,south west fires expected to bring out the roos
grandmother earn adult learning award,positive,neutral,0.5857,0.4117,grandmother earns adult learning award
horrific road toll drain indias economy,negative,neutral,0.6637,0.2977,horrific road toll drains indias economy
cole inquiry tell bhp hid iraqi govt transaction,negative,neutral,0.8897,0.0777,cole inquiry told bhp hid iraqi govt transactions
new lobby group neuro muscular disorder,neutral,negative,0.6813,0.296,new lobby group for neuro muscular disorders
anger balloon festival near tent embassy,negative,positive,0.6023,0.3954,anger over balloon festival near tent embassy
man pleade guilty murder man find park,positive,negative,0.9654,0.0339,three men pleade not guilty to murdering man found in park
premier consider promotion fund pay,negative,neutral,0.5844,0.3984,premier considers using promotion funds to pay
police operation nab record number driver,positive,neutral,0.5718,0.4165,police operation nabs record number of drivers
end property owner foot water backflow supply bill,positive,neutral,0.774,0.0968,top end property owners foot water backflow supply bill
thailand big batman fan open museum,positive,neutral,0.7495,0.2388,thailands biggest batman fan opens museum
not election coronavirus dominate campaign,positive,negative,0.7921,0.1879,nt election coronavirus dominates campaign
coal mine approval draw climate criticism,positive,negative,0.7906,0.2023,coal mines approval draws climate criticism
flight track volcanic ash delay,neutral,negative,0.6304,0.331,flights back on track after volcanic ash delays
opposition mount pms asylum freeze,positive,neutral,0.5767,0.2901,opposition mounts for pms asylum freeze
australia coronavirus week hope border chaos continue,negative,positive,0.8739,0.1241,australia coronavirus week of hope border chaos continues
world,positive,neutral,0.8872,0.0735,on top of the world
cool weather aid firefighter,neutral,positive,0.6033,0.385,cooler weather to aid firefighters
black stick sparkle back france,positive,negative,0.9637,0.0272,all blacks stick with sparkling backs for france
syria chemical weapons andrew wilkie questions assad role,negative,neutral,0.9422,0.0273,syria chemical weapons andrew wilkie questions assad role
uruguay coach hail inspirational montero,positive,neutral,0.5752,0.3934,uruguay coach hails inspirational montero
fuel taxt huge concern transport company,negative,positive,0.8728,0.0225,fuel taxt not a huge concern for transport companies
garrett lack holistic concern,neutral,negative,0.8143,0.1548,garrett lacks holistic concern
north west nsw observatory affect csg development,negative,neutral,0.7896,0.1295,north west nsw observatory affected by csg development
pornhub ban video download follow report alleged child,neutral,negative,0.9574,0.04,pornhub bans video downloads following report of alleged child
petrol gst review contradictory govt,positive,neutral,0.9276,0.0386,petrol gst review not contradictory govt
davis handling ax aplomb malthouse,neutral,negative,0.7522,0.143,davis handling axing with aplomb malthouse
japanese tour seller assess end,positive,neutral,0.9228,0.0487,japanese tour sellers assess top end
eta bomb hit majorca,neutral,negative,0.8878,0.1104,eta bombs hit majorca
nadal murray reach cincinnati,neutral,positive,0.7361,0.1899,nadal murray reach last eight in cincinnati
drastic drop cotton planting expect,negative,neutral,0.5872,0.3908,drastic drop in cotton planting expected
deal ferrari say raikkonen,negative,neutral,0.7127,0.2051,no deal with ferrari for 2006 says raikkonen
rate hike soft inflation number,negative,neutral,0.8623,0.0484,no rate hike on soft inflation numbers
sleepy lizard road sign national save reptile,positive,neutral,0.515,0.4818,sleepy lizard road signs go national to save reptiles
uranium exploration double standard garrett,negative,positive,0.8613,0.0345,uranium exploration no double standard garrett
man die fall ute,negative,neutral,0.6154,0.3788,man dies after falling from ute
gerrard absence leave liverpool feel strain,positive,negative,0.8777,0.0961,gerrard absence leaves liverpool feeling strain
contract negotiation harrison stall,positive,neutral,0.6351,0.0837,contract negotiations with harrison did not stall
fortune favour fight aussie,positive,negative,0.6078,0.3867,fortune favours fighting aussies
bomb road,neutral,negative,0.9092,0.0883,call to get bombs off roads
gloucester mayor confirm run job,positive,neutral,0.9521,0.0186,gloucester mayor confirms he will run again for top job
retail buoyancy save tas store,neutral,positive,0.6312,0.346,retail buoyancy saves tas stores
costello criticise jet joy flight,positive,negative,0.5957,0.4035,costello criticised over jet joy flight
stormer south africa conference draw lion,positive,neutral,0.9268,0.0165,stormers top south africa conference after draw with lions
relieved jet thump knight,positive,neutral,0.9464,0.0204,relieved jets thump knights
park operator welcome waste disposal facility,neutral,negative,0.5509,0.0002,park operator welcomes waste disposal facility
share market asx extend lose streak coronavirus rout,neutral,positive,0.6653,0.0003,share market asx extends losing streak coronavirus rout
sa welfare group push improved housing availability,positive,neutral,0.9171,0.0098,sa welfare group pushes for improved housing availability
cash slam abhorrent video condone,negative,neutral,0.8243,0.1649,cash slams abhorrent video for condoning
immigration minister confirm disturbance manus island centre,negative,neutral,0.899,0.079,immigration minister confirms disturbance at manus island centre
quake barely rattle end,positive,neutral,0.8582,0.1224,quake barely rattles top end
rob easther explain find abc news reporter,negative,neutral,0.8207,0.1406,rob easther explains the find to abc news reporter
actor pee wee plead guilty obscenity case,negative,positive,0.482,0.4708,actor pee wee pleads guilty in obscenity case
pm not trust rate rudd,negative,positive,0.9726,0.0058,pm cant be trusted on rates rudd
victoria coronavirus case rise people die,negative,neutral,0.6403,0.305,victoria coronavirus cases rise seven people die
